item_id,order_id,product_id,product_name,category,quantity,quantity_flag,unit_price_USD,discount_pct,discount_pct_flag,line_total_USD
ITEM-000001,ORD-03141,PROD-0084,SQL Deep Dive Pro,Books,2,Valid entry,3859.71,25,Acceptable,5789.57
ITEM-000002,ORD-03141,PROD-0043,Protein Powder,Sports,18,Valid entry,345.71,2,Acceptable,6098.32
ITEM-000003,ORD-04514,PROD-0176,Video Conferencing Pro,Software,2,Valid entry,NULL,13,Acceptable,3937.13
ITEM-000004,ORD-00879,PROD-0178,Gym Bag Pro,Sports,19,Valid entry,229.12,18,Acceptable,3569.69
ITEM-000005,ORD-00879,PROD-0181,Cloud Storage Pro,Software,4,Valid entry,1691.68,35,Acceptable,4398.37
ITEM-000006,ORD-02859,PROD-0186,Security Suite Pro,Software,4,Valid entry,2016.16,35,Acceptable,5242.02
ITEM-000007,ORD-02859,PROD-0018,Cloud Storage,Software,15,Valid entry,1471.32,4,Acceptable,21187.01
ITEM-000008,ORD-02389,PROD-0088,Leadership Principles Pro,Books,18,Valid entry,805.36,6,Acceptable,13626.69
ITEM-000009,ORD-02389,PROD-0136,Cycling Helmet Pro,Sports,11,Valid entry,1098.60,16,Acceptable,10151.06
ITEM-000010,ORD-02389,PROD-0116,Email Marketing Tool Pro,Software,14,Valid entry,938.94,8,Acceptable,12093.55
ITEM-000011,ORD-02575,PROD-0139,Moisturiser SPF50 Pro,Beauty,-9,Entry Error - Review,1862.50,35,Acceptable,21791.25
ITEM-000012,ORD-02575,PROD-0062,Python for Beginners,Books,19,Valid entry,997.77,15,Acceptable,NULL
ITEM-000013,ORD-02575,PROD-0046,Water Bottle,Sport,12,Valid entry,1267.26,8,Acceptable,13990.55
ITEM-000014,ORD-02575,PROD-0099,Premium Coffee Beans Pro,Food and Beverage,7,Valid entry,424.25,32,Acceptable,2019.43
ITEM-000015,ORD-04612,PROD-0002,Smart Watch,Electronics,18,Valid entry,1070.87,118,Review Recommended,11565.40
ITEM-000016,ORD-04612,PROD-0177,Jump Rope Pro,Sports,15,Valid entry,135.15,27,Acceptable,1479.89
ITEM-000017,ORD-01435,PROD-0057,Face Mask Kit,Beauty,20,Valid entry,1233.52,18,Acceptable,20229.73
ITEM-000018,ORD-00815,PROD-0185,Green Tea Collection Pro,Food and Beverage,11,Valid entry,653.88,36,Acceptable,4603.32
ITEM-000019,ORD-00815,PROD-0096,Robot Vacuum Pro,Home and Garden,6,Valid entry,1308.53,37,Acceptable,4946.24
ITEM-000020,ORD-00815,PROD-0063,Marketing Mastery,Books,6,Valid entry,NULL,8,Acceptable,NULL
ITEM-000021,ORD-02996,PROD-0036,Cookware Set,Home and Garden,9,Valid entry,265.41,40,Acceptable,1433.21
ITEM-000022,ORD-02996,PROD-0003,Bluetooth Speaker,Electronics,3,Valid entry,117.98,35,Acceptable,230.06
ITEM-000023,ORD-02996,PROD-0013,Analytics Tool,Software,19,Valid entry,2148.49,30,Acceptable,28574.92
ITEM-000024,ORD-02996,PROD-0142,Cycling Helmet Pro,Sports,3,Valid entry,NULL,22,Acceptable,2496.43
ITEM-000025,ORD-02598,PROD-0070,AI Fundamentals,Books,14,Valid entry,198.30,3,Acceptable,2692.91
ITEM-000026,ORD-02598,PROD-0094,Growth Hacking Pro,Books,11,Valid entry,1026.12,33,Acceptable,7562.50
ITEM-000027,ORD-02598,PROD-0053,Hair Dryer,Beauty,15,Valid entry,1169.24,18,Acceptable,NULL
ITEM-000028,ORD-02598,PROD-0161,Hot Sauce Bundle Pro,Food and Beverage,2,Valid entry,1006.11,40,Acceptable,1207.33
ITEM-000029,ORD-03853,PROD-0165,Energy Drink Pack Pro,Food and Beverage,20,Valid entry,1670.16,16,Acceptable,28058.69
