order_id,customer_id,order_date,order_status,sales_channel,shipping_cost_USD,discount_pct,discount_pct_flag,region,country
ORD-00001,CUST-0095,2022-09-17,Completed,Phone,18.37,2,Acceptable,Africa,Ghana
ORD-00002,CUST-0053,2021-06-22,Completed,Marketplace,44.71,33,Acceptable,Latin America,Argentina
ORD-00003,CUST-0127,2024-02-28,Refunded,In-Store,14.05,4,Acceptable,North America,United States
ORD-00004,CUST-0065,2024-03-20,Refunded,Unknown,8.55,27,Acceptable,Middle East,UAE
ORD-00005,CUST-0367,2024-03-05,Refunded,Marketplace,41.43,8,Acceptable,Middle East,UAE
ORD-00006,CUST-0110,2021-09-29,Cancelled,Marketplace,38.50,34,Acceptable,Middle East,Saudi Arabia
ORD-00007,CUST-0358,2020-02-21,Completed,In-Store,14.07,8,Acceptable,Asia Pacific,India
ORD-00008,CUST-0183,2020-06-16,Completed,In-Store,4.27,139,Review Recommended,Latin America,Chile
ORD-00009,CUST-0143,2024-05-20,Completed,Mobile App,13.24,6,Acceptable,Europe,Spain
ORD-00010,CUST-0104,2020-02-04,Pending,Mobile App,44.24,24,Acceptable,North America,Canada
ORD-00011,CUST-0137,2020-02-08,Completed,Phone,19.40,34,Acceptable,Latin America,Colombia
ORD-00012,CUST-0340,2021-01-15,Completed,Marketplace,25.83,5,Acceptable,Africa,Ghana
ORD-00013,CUST-0086,2021-12-16,Completed,Phone,32.68,1,Acceptable,Europe,Spain
ORD-00014,CUST-0323,2021-03-08,Pending,Unknown,43.92,9,Acceptable,Europe,Spain
ORD-00015,CUST-0300,2021-12-31,Completed,Website,33.68,26,Acceptable,Africa,Nigeria
ORD-00016,CUST-0080,2020-05-14,Cancelled,Phone,41.00,29,Acceptable,Europe,United Kingdom
ORD-00017,CUST-0127,2024-08-27,Completed,Partner Portal,20.73,33,Acceptable,North America,United States
ORD-00018,CUST-0400,2020-01-24,Completed,Mobile App,38.25,18,Acceptable,Asia Pacific,Australia
ORD-00019,CUST-0278,2023-02-25,Cancelled,Mobile App,30.56,3,Acceptable,North America,United States
ORD-00020,CUST-0270,2020-06-15,Pending,In-Store,12.11,6,Acceptable,Middle East,Qatar
ORD-00021,CUST-0466,2020-03-19,Cancelled,Phone,10.85,28,Acceptable,Europe,Spain
ORD-00022,CUST-0338,2021-02-16,Cancelled,Marketplace,1.32,4,Acceptable,Europe,Sweden
ORD-00023,CUST-0139,2020-08-09,Cancelled,Unknown,0.61,21,Acceptable,Europe,Netherlands
ORD-00024,CUST-0205,2022-04-11,Pending,Phone,41.29,23,Acceptable,Europe,Spain
ORD-00025,CUST-0383,2022-08-26,Refunded,Website,41.20,19,Acceptable,Africa,Ghana
ORD-00026,CUST-0233,2023-01-20,Pending,In-Store,20.66,13,Acceptable,Europe,Germany
ORD-00027,CUST-0295,2023-05-03,Completed,Partner Portal,30.22,19,Acceptable,Europe,France
ORD-00028,CUST-0211,2022-09-10,Completed,Partner Portal,23.86,32,Acceptable,Middle East,UAE
ORD-00029,CUST-0151,2023-03-24,Refunded,Partner Portal,32.94,6,Acceptable,Europe,Sweden
ORD-00030,CUST-0121,2023-05-26,Completed,Phone,22.97,114,Review Recommended,Europe,Germany
ORD-00031,CUST-0371,2023-07-12,Refunded,Mobile App,9.56,4,Acceptable,North America,United States
ORD-00032,CUST-0250,2021-11-26,Pending,Unknown,12.29,34,Acceptable,Europe,Sweden
ORD-00033,CUST-0212,2020-07-14,Completed,Website,8.30,2,Acceptable,Middle East,Saudi Arabia
ORD-00034,CUST-0242,2022-12-31,Refunded,Partner Portal,1.70,16,Acceptable,Asia Pacific,India
ORD-00035,CUST-0394,2023-10-18,Pending,Partner Portal,37.52,11,Acceptable,Latin America,Argentina
ORD-00036,CUST-0386,2020-05-28,Completed,Mobile App,38.81,7,Acceptable,Latin America,Chile
ORD-00037,CUST-0182,2021-07-26,Completed,Website,24.67,26,Acceptable,Latin America,Colombia
ORD-00038,CUST-0238,2021-12-29,Cancelled,Partner Portal,38.17,27,Acceptable,Latin America,Argentina
ORD-00039,CUST-0205,2023-12-16,Completed,Partner Portal,3.21,1,Acceptable,Europe,Spain
ORD-00040,CUST-0230,2021-09-03,Completed,Partner Portal,16.58,4,Acceptable,Latin America,Colombia
ORD-00041,CUST-0120,2023-10-30,Cancelled,In-Store,1.99,28,Acceptable,Middle East,Saudi Arabia
ORD-00042,CUST-0217,2024-03-22,Refunded,Unknown,24.63,20,Acceptable,Middle East,UAE
ORD-00043,CUST-0007,2020-04-04,Cancelled,Marketplace,24.21,14,Acceptable,Middle East,Saudi Arabia
ORD-00044,CUST-0092,2023-01-11,Completed,In-Store,1.79,4,Acceptable,Latin America,Brazil
ORD-00045,CUST-0249,2022-10-20,Cancelled,Marketplace,24.47,27,Acceptable,Africa,Kenya
ORD-00046,CUST-0377,2023-06-29,Completed,In-Store,21.19,3,Acceptable,Middle East,Qatar
ORD-00047,CUST-0327,2024-02-07,Completed,Partner Portal,7.12,17,Acceptable,Middle East,Saudi Arabia
ORD-00048,CUST-0107,2022-08-27,Completed,Phone,12.03,30,Acceptable,Middle East,Saudi Arabia
ORD-00049,CUST-0101,2024-09-25,Pending,Unknown,19.13,23,Acceptable,Middle East,Qatar
ORD-00050,CUST-0018,2024-12-22,Cancelled,Marketplace,25.61,18,Acceptable,Africa,Ghana
ORD-00051,CUST-0277,2020-04-08,Cancelled,Marketplace,17.29,31,Acceptable,Middle East,Saudi Arabia
ORD-00052,CUST-0019,2020-02-08,Refunded,Mobile App,25.55,25,Acceptable,Asia Pacific,India
ORD-00053,CUST-0155,2020-11-16,Completed,Partner Portal,19.68,7,Acceptable,North America,Mexico
ORD-00054,CUST-0120,2023-05-12,Cancelled,Partner Portal,0.11,2,Acceptable,Middle East,Saudi Arabia
ORD-00055,CUST-0280,2021-12-20,Cancelled,In-Store,38.66,9,Acceptable,Latin America,Colombia
ORD-00056,CUST-0259,2024-05-15,Refunded,Phone,28.63,17,Acceptable,North America,Mexico
ORD-00057,CUST-0118,2022-06-22,Cancelled,Marketplace,44.83,22,Acceptable,Latin America,Brazil
ORD-00058,CUST-0083,2024-03-18,Completed,Mobile App,10.93,25,Acceptable,Latin America,Argentina
ORD-00059,CUST-0272,2023-04-04,Completed,Website,43.92,119,Review Recommended,Africa,South Africa
ORD-00060,CUST-0380,2022-03-02,Pending,Phone,38.37,12,Acceptable,Asia Pacific,Singapore
ORD-00061,CUST-0201,2020-09-12,Completed,Website,12.13,6,Acceptable,Africa,Nigeria
ORD-00062,CUST-0088,2021-07-31,Refunded,Mobile App,27.95,22,Acceptable,North America,Canada
ORD-00063,CUST-0232,2024-06-30,Refunded,Mobile App,28.11,13,Acceptable,Middle East,Saudi Arabia
ORD-00064,CUST-0389,2021-02-11,Refunded,Marketplace,12.51,26,Acceptable,Latin America,Colombia
ORD-00065,CUST-0084,2021-03-18,Pending,Mobile App,20.64,31,Acceptable,North America,United States
ORD-00066,CUST-0227,2020-08-25,Completed,Website,25.69,24,Acceptable,North America,Mexico
ORD-00067,CUST-0085,2022-12-18,Refunded,Mobile App,31.75,1,Acceptable,Middle East,UAE
ORD-00068,CUST-0365,2024-09-16,Cancelled,Marketplace,0.49,34,Acceptable,Europe,United Kingdom
ORD-00069,CUST-0288,2022-06-26,Completed,Marketplace,13.07,34,Acceptable,Africa,Kenya
ORD-00070,CUST-0449,2022-04-03,Pending,Website,39.22,30,Acceptable,Europe,United Kingdom
ORD-00071,CUST-0388,2023-03-18,Pending,Website,4.04,32,Acceptable,Asia Pacific,South Korea
ORD-00072,CUST-0478,2024-01-25,Completed,Website,15.79,29,Acceptable,North America,Mexico
ORD-00073,CUST-0364,2021-01-03,Completed,Phone,41.48,29,Acceptable,Africa,Nigeria
ORD-00074,CUST-0207,2022-02-07,Pending,Partner Portal,38.39,21,Acceptable,Europe,United Kingdom
ORD-00075,CUST-0390,2022-07-27,Pending,Website,38.73,24,Acceptable,Middle East,Saudi Arabia
ORD-00076,CUST-0137,2024-05-13,Completed,Mobile App,2.90,33,Acceptable,Latin America,Colombia
ORD-00077,CUST-0344,2020-03-03,Cancelled,Phone,43.70,9,Acceptable,Africa,Nigeria
ORD-00078,CUST-0017,2021-02-02,Completed,Website,39.63,30,Acceptable,Middle East,Saudi Arabia
ORD-00079,CUST-0310,2022-12-31,Refunded,Phone,44.63,30,Acceptable,Latin America,Chile
ORD-00080,CUST-0160,2021-12-31,Completed,In-Store,13.65,25,Acceptable,Latin America,Colombia
ORD-00081,CUST-0263,2024-07-15,Completed,Website,36.53,1,Acceptable,Asia Pacific,Singapore
ORD-00082,CUST-0140,2024-06-19,Pending,In-Store,17.58,20,Acceptable,Latin America,Brazil
ORD-00083,CUST-0378,2020-12-16,Completed,Website,6.98,19,Acceptable,Middle East,Saudi Arabia
ORD-00084,CUST-0462,2022-07-22,Completed,Partner Portal,27.39,19,Acceptable,Middle East,Saudi Arabia
ORD-00085,CUST-0437,2023-04-15,Completed,Partner Portal,10.85,23,Acceptable,North America,Canada
ORD-00086,CUST-0248,2024-05-12,Completed,Mobile App,30.99,4,Acceptable,Europe,Netherlands
ORD-00087,CUST-0438,2024-10-04,Completed,Phone,37.63,24,Acceptable,Europe,Sweden
ORD-00088,CUST-0309,2024-03-15,Completed,Website,41.47,7,Acceptable,Africa,South Africa
ORD-00089,CUST-0404,2021-07-02,Refunded,In-Store,26.09,17,Acceptable,Latin America,Colombia
ORD-00090,CUST-0010,2022-04-11,Refunded,Partner Portal,40.38,0,Acceptable,Latin America,Chile
ORD-00091,CUST-0292,2020-03-05,Refunded,Phone,11.76,17,Acceptable,Europe,France
ORD-00092,CUST-0424,2021-10-20,Pending,Partner Portal,42.36,6,Acceptable,Latin America,Chile
ORD-00093,CUST-0451,2023-11-10,Cancelled,Phone,2.50,24,Acceptable,Middle East,Qatar
ORD-00094,CUST-0021,2024-11-08,Cancelled,Phone,4.20,2,Acceptable,Asia Pacific,Australia
ORD-00095,CUST-0004,2024-12-20,Completed,Website,22.68,26,Acceptable,Latin America,Colombia
ORD-00096,CUST-0168,2023-06-05,Completed,Website,22.82,12,Acceptable,North America,Canada
ORD-00097,CUST-0397,2021-06-14,Completed,In-Store,7.64,27,Acceptable,Latin America,Argentina
ORD-00098,CUST-0219,2024-07-13,Cancelled,Mobile App,15.67,6,Acceptable,Asia Pacific,Australia
ORD-00099,CUST-0211,2021-10-21,Pending,Marketplace,2.76,11,Acceptable,Middle East,UAE
ORD-00100,CUST-0475,2024-06-16,Pending,Website,20.53,7,Acceptable,North America,Mexico
ORD-00101,CUST-0274,2021-10-25,Completed,Partner Portal,7.42,13,Acceptable,North America,Canada
ORD-00102,CUST-0180,2020-06-23,Completed,Marketplace,12.26,33,Acceptable,North America,Mexico
ORD-00103,CUST-0136,2023-01-26,Pending,Mobile App,11.11,34,Acceptable,Europe,Sweden
ORD-00104,CUST-0165,2022-06-22,Refunded,In-Store,20.23,24,Acceptable,Europe,Germany
ORD-00105,CUST-0102,2024-09-10,Completed,Partner Portal,41.52,10,Acceptable,Latin America,Chile
ORD-00106,CUST-0361,2024-06-17,Refunded,Unknown,37.40,23,Acceptable,Latin America,Brazil
ORD-00107,CUST-0169,2023-03-19,Completed,Website,43.85,34,Acceptable,Asia Pacific,South Korea
ORD-00108,CUST-0244,2022-12-08,Completed,Phone,30.14,14,Acceptable,North America,Mexico
