product_id,product_name,category,unit_cost_USD,unit_price_USD,gross_margin_pct,data_entry_flag,stock_qty,stock_qty_flag,is_active
PROD-0001,Wireless Headphones,Electronics,97.41,438.78,77.8,Complete Data,-43,Error - Review,No
PROD-0002,Smart Watch,Electronics,748.54,1070.89,30.1,Complete Data,1147,valid,Yes
PROD-0003,Bluetooth Speaker,Electronics,44.48,117.98,62.3,Complete Data,2847,valid,Yes
PROD-0004,USB-C Hub,Electronics,663.2,2263.48,70.7,Complete Data,-46,Error - Review,Yes
PROD-0005,Webcam HD,Electronics,227.39,695.08,67.3,Complete Data,3039,valid,Yes
PROD-0006,Mechanical Keyboard,Electronics,370.17,1519.06,75.6,Complete Data,NULL,valid,Yes
PROD-0007,Gaming Mouse,Electronics,679.58,1420.48,52.2,Complete Data,3833,valid,Yes
PROD-0008,Monitor 27in,Electronics,55.44,142.28,61,Complete Data,4437,valid,Yes
PROD-0009,Laptop Stand,Electronics,33.36,43.94,24.1,Complete Data,3280,valid,No
PROD-0010,Portable Charger,Electronics,175.03,334.26,47.6,Complete Data,654,valid,Yes
PROD-0011,Project Management Suite,Software,325.14,947.58,65.7,Complete Data,2770,valid,Yes
PROD-0012,CRM Platform,Software,360.8,558.87,35.4,Complete Data,3212,valid,Yes
PROD-0013,Analytics Tool,Software,580.09,2144.7,73,Complete Data,3932,valid,No
PROD-0014,Accounting Software,Software,182.96,435.14,58,Complete Data,1729,valid,Yes
PROD-0015,Email Marketing Tool,Software,292.32,998.5,70.7,Complete Data,4297,valid,Yes
PROD-0016,HR Management System,Software,621.88,1657.97,62.5,Complete Data,3929,valid,No
PROD-0017,Design Software,Software,600.04,820.18,26.8,Complete Data,2448,valid,No
PROD-0018,Cloud Storage,Software,366.36,1469.36,75.1,Complete Data,1808,valid,No
PROD-0019,Security Suite,Software,396.54,1657.49,76.1,Complete Data,2185,valid,Yes
PROD-0020,Video Conferencing,Software,633.42,1856.04,65.9,Complete Data,2393,valid,Yes
PROD-0021,Running Shoes,Apparel,149.64,467.88,68,Complete Data,NULL,valid,Yes
PROD-0022,Casual T-Shirt,Apparel,174.01,263.31,33.9,Complete Data,2481,valid,Yes
PROD-0023,Business Jacket,Apparel,286.19,1139.28,74.9,Complete Data,4726,valid,Yes
PROD-0024,Winter Coat,Apparel,562.11,1532.34,63.3,Complete Data,969,valid,No
PROD-0025,Sports Leggings,Apparel,341.8,1271.08,73.1,Complete Data,4391,valid,No
PROD-0026,Polo Shirt,Apparel,136.49,247.08,44.8,Complete Data,3123,valid,Yes
PROD-0027,Dress Shoes,Apparel,310.14,632.55,51,Complete Data,3958,valid,Yes
PROD-0028,Backpack,Apparel,379.35,621.54,39,Complete Data,-13,Error - Review,Yes
PROD-0029,Baseball Cap,Apparel,674.42,1309.75,48.5,Complete Data,1847,valid,No
PROD-0030,Sunglasses,Apparel,290.52,685.59,57.6,Complete Data,4397,valid,Yes
PROD-0031,Coffee Maker,Home and Garden,651.01,1969.09,66.9,Complete Data,1016,valid,Yes
PROD-0032,Air Purifier,Home and Garden,573.02,2284.54,74.9,Complete Data,849,valid,No
PROD-0033,Robot Vacuum,Home and Garden,434.23,1015.44,57.2,Complete Data,1683,valid,Yes
PROD-0034,Smart Thermostat,Home and Garden,278.5,669.25,58.4,Complete Data,2448,valid,Yes
PROD-0035,Garden Hose,Home and Garden,98.85,249.72,60.4,Complete Data,1931,valid,Yes
PROD-0036,Cookware Set,Home and Garden,104.11,265.41,60.8,Complete Data,43,valid,No
PROD-0037,Bed Sheets,Home and Garden,718.86,1097.77,34.5,Complete Data,2021,valid,No
PROD-0038,Wall Art,Home and Garden,672.97,1162.37,42.1,Complete Data,1407,valid,No
PROD-0039,Desk Lamp,Home and Garden,9.43,37.17,74.6,Complete Data,2398,valid,Yes
PROD-0040,Storage Ottoman,Home and Garden,478.24,2047.31,76.6,Complete Data,1654,valid,No
PROD-0041,Yoga Mat,Sports,371.74,1504.66,75.3,Complete Data,3998,valid,Yes
PROD-0042,Resistance Bands,Sports,669.57,1476.84,54.7,Complete Data,1674,valid,Yes
PROD-0043,Protein Powder,Sports,222.29,345.86,35.7,Complete Data,2922,valid,Yes
PROD-0044,Jump Rope,Sports,62.61,129.22,51.5,Complete Data,3488,valid,Yes
PROD-0045,Foam Roller,Sports,769.8,3163.25,75.7,Complete Data,NULL,valid,Yes
PROD-0046,Water Bottle,Sports,529.71,1266.56,58.2,Complete Data,1675,valid,No
PROD-0047,Gym Bag,Sports,118.67,247.35,52,Complete Data,2899,valid,No
PROD-0048,Fitness Tracker,Sports,500.24,1613.42,69,Complete Data,3098,valid,Yes
PROD-0049,Tennis Racket,Sports,42.29,64.19,34.1,Complete Data,1041,valid,Yes
PROD-0050,Cycling Helmet,Sports,418.12,1183.14,64.7,Complete Data,4197,valid,Yes
PROD-0051,Moisturiser SPF50,Beauty,664.28,1404.06,52.7,Complete Data,775,valid,Yes
PROD-0052,Vitamin C Serum,Beauty,510.39,726.02,29.7,Complete Data,1338,valid,No
PROD-0053,Hair Dryer,Beauty,441.97,1167.99,62.2,Complete Data,4782,valid,Yes
PROD-0054,Electric Toothbrush,Beauty,577.49,1316.38,56.1,Complete Data,3293,valid,Yes
PROD-0055,Perfume 50ml,Beauty,498.11,1467.64,66.1,Complete Data,2801,valid,Yes
PROD-0056,Lip Balm Set,Beauty,145.58,238.75,39,Complete Data,2746,valid,Yes
PROD-0057,Face Mask Kit,Beauty,561.25,1234.75,54.5,Complete Data,1503,valid,No
PROD-0058,Nail Polish Set,Beauty,151.65,372.73,59.3,Complete Data,1261,valid,Yes
PROD-0059,Shampoo & Conditioner,Beauty,633.52,1390.77,54.4,Complete Data,2062,valid,Yes
PROD-0060,Makeup Brush Set,Beauty,732.82,2454.18,70.1,Complete Data,4795,valid,Yes
PROD-0061,Data Analytics Guide,Books,461.84,705.72,34.6,Complete Data,31,valid,Yes
PROD-0062,Python for Beginners,Books,262.41,997.79,73.7,Complete Data,NULL,valid,Yes
PROD-0063,Marketing Mastery,Books,543.1,2082.49,73.9,Complete Data,33,valid,Yes
