return_id,order_id,order_id_flag,return_date,return_reason,refund_amount_USD,return_status
RET-0729,ORD-00012,Valid FK,2023-10-09,Changed mind,431.68,Processed
RET-0701,ORD-00013,Valid FK,2021-11-24,Product not as described,712.74,Rejected
RET-0206,ORD-00030,Valid FK,2024-11-07,Wrong item received,444.62,Pending
RET-0167,ORD-00047,Valid FK,2020-04-17,Wrong item received,18.68,Rejected
RET-0133,ORD-00072,Valid FK,2020-07-25,Damaged in shipping,569.67,Rejected
RET-0675,ORD-00076,Valid FK,2021-12-04,Quality issues,98.19,Pending
RET-0259,ORD-00083,Valid FK,2023-04-02,Damaged in shipping,214.86,Processed
RET-0389,ORD-00085,Valid FK,2023-10-15,Better price elsewhere,728.29,Rejected
RET-0524,ORD-00087,Valid FK,2024-01-17,Quality issues,664.84,Processed
RET-0461,ORD-00095,Valid FK,2020-09-15,Changed mind,360.20,Pending
RET-0197,ORD-00096,Valid FK,2020-04-25,Product not as described,571.17,Processed
RET-0152,ORD-00105,Valid FK,2020-08-03,Damaged in shipping,648.19,Pending
RET-0072,ORD-00105,Valid FK,2023-08-24,Changed mind,640.85,Pending
RET-0320,ORD-00107,Valid FK,2021-03-29,Damaged in shipping,543.42,Rejected
RET-0798,ORD-00107,Valid FK,2023-04-08,Changed mind,172.36,Rejected
RET-0341,ORD-00108,Valid FK,2023-05-28,Duplicate order,704.43,Processed
RET-0175,ORD-00143,Valid FK,2020-06-26,Damaged in shipping,760.16,Processed
RET-0664,ORD-00150,Valid FK,2021-02-01,Product not as described,420.00,Pending
RET-0583,ORD-00154,Valid FK,2023-01-28,Duplicate order,708.67,Rejected
RET-0721,ORD-00154,Valid FK,2021-04-07,Defective product,501.68,Processed
RET-0301,ORD-00168,Valid FK,2022-09-16,Duplicate order,134.48,Pending
RET-0515,ORD-00172,Valid FK,2024-02-01,Better price elsewhere,653.70,Processed
RET-0277,ORD-00174,Valid FK,2023-09-19,Unknown,470.83,Rejected
RET-0580,ORD-00176,Valid FK,2020-07-24,Better price elsewhere,587.17,Processed
RET-0342,ORD-00180,Valid FK,2024-10-05,Damaged in shipping,26.89,Rejected
RET-0544,ORD-00187,Valid FK,2021-11-13,Duplicate order,721.26,Processed
RET-0413,ORD-00197,Valid FK,2022-05-03,Wrong item received,65.31,Pending
RET-0542,ORD-00201,Valid FK,2024-04-24,Wrong item received,415.62,Rejected
RET-0493,ORD-00205,Valid FK,2021-02-18,Changed mind,270.42,Pending
RET-0144,ORD-00206,Valid FK,2020-04-21,Better price elsewhere,765.40,Pending
RET-0679,ORD-00206,Valid FK,2023-05-23,Damaged in shipping,447.78,Pending
RET-0523,ORD-00207,Valid FK,2022-04-18,Defective product,601.04,Rejected
RET-0554,ORD-00208,Valid FK,2022-12-24,Product not as described,799.17,Rejected
RET-0758,ORD-00212,Valid FK,2020-05-08,Product not as described,688.20,Processed
RET-0084,ORD-00213,Valid FK,2024-04-11,Changed mind,464.89,Pending
RET-0671,ORD-00226,Valid FK,2023-07-16,Defective product,427.97,Processed
RET-0366,ORD-00228,Valid FK,2021-05-05,Unknown,323.48,Processed
RET-0527,ORD-00239,Valid FK,2023-02-12,Duplicate order,772.60,Processed
RET-0336,ORD-00240,Valid FK,2022-09-21,Better price elsewhere,708.25,Processed
RET-0610,ORD-00240,Valid FK,2022-07-21,Changed mind,342.98,Rejected
RET-0468,ORD-00257,Valid FK,2022-11-24,Better price elsewhere,278.00,Pending
RET-0126,ORD-00259,Valid FK,2024-10-28,Unknown,637.96,Pending
RET-0187,ORD-00277,Valid FK,2021-04-03,Quality issues,334.65,Rejected
RET-0129,ORD-00296,Valid FK,2020-10-29,Defective product,273.45,Rejected
RET-0047,ORD-00297,Valid FK,2021-04-13,Defective product,215.12,Pending
RET-0767,ORD-00304,Valid FK,2024-10-06,Product not as described,156.91,Rejected
RET-0648,ORD-00310,Valid FK,2020-04-06,Quality issues,521.77,Processed
RET-0271,ORD-00310,Valid FK,2022-11-02,Changed mind,539.79,Processed
RET-0185,ORD-00316,Valid FK,2021-10-25,Unknown,129.30,Pending
RET-0113,ORD-00316,Valid FK,2021-04-22,Wrong item received,606.26,Processed
RET-0444,ORD-00317,Valid FK,2023-08-26,Wrong item received,76.79,Processed
RET-0711,ORD-00327,Valid FK,2021-05-30,Duplicate order,750.90,Rejected
RET-0178,ORD-00329,Valid FK,2020-06-13,Unknown,456.48,Processed
RET-0159,ORD-00330,Valid FK,2023-01-07,Product not as described,328.54,Pending
RET-0420,ORD-00335,Valid FK,2022-03-03,Defective product,434.10,Rejected
RET-0201,ORD-00338,Valid FK,2020-04-23,Changed mind,746.26,Pending
RET-0771,ORD-00338,Valid FK,2023-01-29,Defective product,667.65,Pending
RET-0127,ORD-00339,Valid FK,2021-03-18,Better price elsewhere,146.75,Pending
RET-0048,ORD-00371,Valid FK,2023-01-28,Quality issues,214.49,Processed
RET-0518,ORD-00393,Valid FK,2023-08-30,Defective product,484.69,Processed
RET-0282,ORD-00396,Valid FK,2023-11-27,Product not as described,70.98,Processed
RET-0672,ORD-00407,Valid FK,2024-04-11,Wrong item received,592.54,Rejected
RET-0250,ORD-00408,Valid FK,2023-08-13,Defective product,233.40,Processed
RET-0042,ORD-00408,Valid FK,2023-06-19,Defective product,354.38,Processed
RET-0380,ORD-00409,Valid FK,2021-02-14,Better price elsewhere,244.11,Rejected
RET-0421,ORD-00414,Valid FK,2023-07-23,Wrong item received,596.00,Processed
RET-0755,ORD-00416,Valid FK,2023-01-08,Better price elsewhere,176.41,Processed
RET-0748,ORD-00420,Valid FK,2022-06-22,Product not as described,13.81,Processed
RET-0732,ORD-00424,Valid FK,2024-08-02,Duplicate order,475.60,Pending
RET-0298,ORD-00440,Valid FK,2023-08-16,Defective product,581.21,Pending
RET-0017,ORD-00454,Valid FK,2023-06-18,Quality issues,145.26,Pending
RET-0736,ORD-00472,Valid FK,2022-02-09,Unknown,296.64,Rejected
RET-0202,ORD-00490,Valid FK,2021-08-17,Changed mind,462.14,Pending
RET-0520,ORD-00495,Valid FK,2024-10-01,Changed mind,746.91,Pending
RET-0630,ORD-00495,Valid FK,2023-01-30,Product not as described,744.97,Pending
RET-0570,ORD-00520,Valid FK,2023-02-22,Quality issues,489.40,Rejected
RET-0680,ORD-00544,Valid FK,2022-05-26,Wrong item received,607.84,Pending
RET-0350,ORD-00564,Valid FK,2020-05-05,Wrong item received,341.67,Rejected
RET-0115,ORD-00576,Valid FK,2022-05-08,Wrong item received,605.52,Processed
RET-0467,ORD-00582,Valid FK,2023-04-02,Defective product,395.15,Pending
RET-0233,ORD-00584,Valid FK,2023-05-14,Changed mind,136.80,Pending
RET-0026,ORD-00589,Valid FK,2024-10-22,Damaged in shipping,265.89,Rejected
RET-0540,ORD-00593,Valid FK,2024-05-03,Unknown,319.04,Processed
