subscription_id,customer_id,plan_name,monthly_fee_USD,subscription_start,subscription_end,derived_tenure_months,total_revenue_USD,subscription_status,cancellation_reason,payment_method
SUB-0001,CUST-0001,Enterprise,499,2020-11-04,2022-04-11,17,8583,Cancelled,Company closure,Credit Card
SUB-0002,CUST-0001,Enterprise,499,2021-09-29,2023-11-08,26,12625,Cancelled,Missing features,Crypto
SUB-0003,CUST-0002,Enterprise,499,2021-07-11,2023-09-26,26,13224,Cancelled,Too expensive,Crypto
SUB-0004,CUST-0003,Business,199,2019-08-21,2024-01-29,53,10607,Cancelled,Found alternative,PayPal
SUB-0005,CUST-0004,Enterprise,499,2023-07-29,2023-10-09,3,1198,Cancelled,Found alternative,PayPal
SUB-0006,CUST-0004,Starter,29,2022-01-01,2023-12-23,23,687,Cancelled,Missing features,Crypto
SUB-0007,CUST-0005,Starter,29,2022-05-01,2022-11-09,6,183,Cancelled,Poor support,Bank Transfer
SUB-0008,CUST-0006,Business,199,2021-03-27,2024-06-04,39,7622,Active,Unknown,Credit Card
SUB-0009,CUST-0007,Professional,79,2019-09-07,2022-03-05,30,2362,Cancelled,Budget cuts,Credit Card
SUB-0010,CUST-0008,Enterprise,499,2020-02-19,2021-05-27,15,7585,Cancelled,Found alternative,Bank Transfer
SUB-0011,CUST-0009,Business,199,2020-05-18,2024-02-07,45,8895,Cancelled,Budget cuts,Crypto
SUB-0012,CUST-0010,Starter,29,2019-11-19,2024-10-10,59,1702,Active,Unknown,Bank Transfer
SUB-0013,CUST-0011,Starter,29,2023-01-17,2024-04-07,15,426,Cancelled,Switched to competitor,Bank Transfer
SUB-0014,CUST-0012,Starter,29,2019-09-01,2022-02-21,29,861,Cancelled,Budget cuts,Crypto
SUB-0015,CUST-0013,Business,199,2019-07-31,2024-03-24,56,11104,Cancelled,No longer needed,Bank Transfer
SUB-0016,CUST-0014,Enterprise,499,2023-02-25,2024-04-04,14,6637,Cancelled,No longer needed,Credit Card
SUB-0017,CUST-0015,Enterprise,499,2021-11-13,2023-12-17,25,12525,Cancelled,Poor support,Credit Card
SUB-0018,CUST-0016,Professional,79,2021-09-07,2024-05-10,32,2536,Cancelled,Too expensive,Crypto
SUB-0019,CUST-0017,Business,199,2021-05-29,2023-04-17,23,4497,Cancelled,No longer needed,Crypto
