item_id,order_id,product_id,product_name,category,quantity,unit_price_USD,discount_pct,line_total_USD
ITEM-000001,ORD-03141,PROD-0084,SQL Deep Dive Pro,Books,2,3859.71,0.25,5789.57
ITEM-000002,ORD-03141,PROD-0043,Protein Powder,Sports,18,$345.71,0.02,6098.32
ITEM-000003,ORD-04514,PROD-0176,Video Conferencing Pro,Software,2,"$2,262.72",0.13,3937.13
ITEM-000004,ORD-00879,PROD-0178,Gym Bag Pro,Sports,19,229.12,0.18,3569.69
ITEM-000005,ORD-00879,PROD-0181,Cloud Storage Pro,Software,4,1691.68,0.35,4398.37
ITEM-000006,ORD-02859,PROD-0186,Security Suite Pro,Software,4,2016.16,0.35,5242.02
ITEM-000007,ORD-02859,PROD-0018,Cloud Storage,Software,15,1471.32,0.04,21187.01
ITEM-000008,ORD-02389,PROD-0088,Leadership Principles Pro,Books,18,805.36,0.06,13626.69
ITEM-000009,ORD-02389,PROD-0136,Cycling Helmet Pro,Sports,11,1098.6,0.16,10151.06
ITEM-000010,ORD-02389,PROD-0116,Email Marketing Tool Pro,Software,14,938.94,0.08,12093.55
ITEM-000011,ORD-02575,PROD-0139,Moisturiser SPF50 Pro,Beauty,-9,1862.5,0.35,21791.25
ITEM-000012,ORD-02575,PROD-0062,Python for Beginners,Books,19,997.77,0.15,"$16,113.99"
ITEM-000013,ORD-02575,PROD-0046,Water Bottle,Sport,12,1267.26,0.08,13990.55
ITEM-000014,ORD-02575,PROD-0099,Premium Coffee Beans Pro,Food & Beverage,7,$424.25,0.32,2019.43
ITEM-000015,ORD-04612,PROD-0002,Smart Watch,Electronics,18,1070.87,1.18,11565.4
ITEM-000016,ORD-04612,PROD-0177,Jump Rope Pro,Sports,15,135.15,0.27,1479.89
ITEM-000017,ORD-01435,PROD-0057,Face Mask Kit,Beauty,20,1233.52,0.18,20229.73
ITEM-000018,ORD-00815,PROD-0185,Green Tea Collection Pro,Food & Beverage,11,653.88,0.36,4603.32
ITEM-000019,ORD-00815,PROD-0096,Robot Vacuum Pro,Home & Garden,6,1308.53,0.37,4946.24
