order_id,customer_id,order_date,order_status,sales_channel,shipping_cost_USD,discount_pct,region,country
ORD-00001,CUST-0095,2022-09-17,Completed,Phone,18.37,0.02,Africa,Ghana
ORD-00002,CUST-0053,22 June 2021,Completed,Marketplace,44.71,0.33,latin america,Argentina
ORD-00003,CUST-0127,2024-02-28,Refunded,In-Store,14.05,0.04,North America,United States
ORD-00004,CUST-0065,2024-03-20,Refunded,,8.55,0.27,Middle East,UAE
ORD-00005,CUST-0367,2024-03-05,Refunded,Marketplace,41.43,0.08,Middle East,UAE
ORD-00006,CUST-0110,2021-09-29,Cancelled,Marketplace,38.5,0.34,Middle East,Saudi Arabia
ORD-00007,CUST-0358,2020-02-21,Completed,In-Store,14.07,0.08,Asia Pacific,India
ORD-00008,CUST-0183,2020-06-16,Completed,In-Store,$4.27,1.39,LatAm,Chile
ORD-00009,CUST-0143,2024-05-20,Completed,Mobile App,13.24,0.06,Europe,Spain
ORD-00010,CUST-0104,02/04/2020,Pending,Mobile App,44.24,0.24,N. America,Canada
ORD-00011,CUST-0137,02/08/2020,Completed,Phone,19.4,0.34,Latin America,Colombia
ORD-00012,CUST-0340,2021-01-15,Completed,Marketplace,$25.83,0.05,Africa,Ghana
ORD-00013,CUST-0086,2021-12-16,Completed,Phone,32.68,0.01,Europe,Spain
ORD-00014,CUST-0323,03/08/2021,Pending,,$43.92,0.09,Europe,Spain
ORD-00015,CUST-0300,2021-12-31,Completed,Website,33.68,0.26,Africa,Nigeria
ORD-00016,CUST-0080,2020-05-14,Cancelled,Phone,41,0.29,Europe,United Kingdom
ORD-00017,CUST-0127,2024-08-27,Completed,Partner Portal,20.73,0.33,North America,United States
ORD-00018,CUST-0400,2020-01-24,Completed,Mobile App,38.25,0.18,Asia Pacific,Australia
ORD-00019,CUST-0278,2023-02-25,Cancelled,Mobile App,$30.56,0.03,North America,United States
ORD-00020,CUST-0270,2020-06-15,Pending,In-Store,12.11,0.06,Mid East,Qatar
ORD-00021,CUST-0466,"March 19, 2020",Cancelled,Phone,10.85,0.28,Europe,Spain
ORD-00022,CUST-0338,"February 16, 2021",Cancelled,Marketplace,1.32,0.04,Europe ,Sweden
ORD-00023,CUST-0139,2020-08-09,Cancelled,,0.61,0.21,Europe,Netherlands
ORD-00024,CUST-0205,2022-04-11,Pending,Phone,41.29,0.23,Europe,Spain
ORD-00025,CUST-0383,2022-08-26,Refunded,Website,41.2,0.19,Africa,Ghana
ORD-00026,CUST-0233,2023-01-20,Pending,In-Store,20.66,0.13,Europe,Germany
ORD-00027,CUST-0295,2023-05-03,Completed,Partner Portal,30.22,0.19,Europe ,France
ORD-00028,CUST-0211,2022-09-10,Completed,Partner Portal,23.86,0.32,Middle East,UAE
ORD-00029,CUST-0151,24 March 2023,Refunded,Partner Portal,$32.94,0.06,Europe,Sweden
ORD-00030,CUST-0121,2023-05-26,Completed,Phone,$22.97,1.14,Europe,Germany
ORD-00031,CUST-0371,2023-07-12,Refunded,Mobile App,9.56,0.04,North America,United States
ORD-00032,CUST-0250,2021-11-26,Pending,,12.29,0.34,Europe,Sweden
ORD-00033,CUST-0212,2020-07-14,Completed,Website,8.3,0.02,Middle East,Saudi Arabia
ORD-00034,CUST-0242,"December 31, 2022",Refunded,Partner Portal,$1.70,0.16,Asia Pacific,India
ORD-00035,CUST-0394,2023-10-18,Pending,Partner Portal,37.52,0.11,Latin America,Argentina
ORD-00036,CUST-0386,2020-05-28,Completed,Mobile App,38.81,0.07,Latin America,Chile
ORD-00037,CUST-0182,2021-07-26,Completed,Website,24.67,0.26,Latin America,Colombia
ORD-00038,CUST-0238,2021-12-29,Cancelled,Partner Portal,38.17,0.27,Latin America,Argentina
ORD-00039,CUST-0205,2023-12-16,Completed,Partner Portal,$3.21,0.01,Europe,Spain
ORD-00040,CUST-0230,"September 3, 2021",Completed,Partner Portal,16.58,0.04,Latin America,Colombia
ORD-00041,CUST-0120,2023-10-30,Cancelled,In-Store,1.99,0.28,Middle East,Saudi Arabia
ORD-00042,CUST-0217,2024-03-22,Refunded,,24.63,0.2,Middle East,UAE
ORD-00043,CUST-0007,2020-04-04,Cancelled,Marketplace,24.21,0.14,Middle East,Saudi Arabia
ORD-00044,CUST-0092,2023-01-11,Completed,In-Store,$1.79,0.04,Latin America,Brazil
ORD-00045,CUST-0249,2022-10-20,Cancelled,Marketplace,24.47,0.27,Africa,Kenya
ORD-00046,CUST-0377,2023-06-29,Completed,In-Store,$21.19,0.03,Middle East ,Qatar
ORD-00047,CUST-0327,2024-02-07,Completed,Partner Portal,$7.12,0.17,Mid East,Saudi Arabia
ORD-00048,CUST-0107,2022-08-27,Completed,Phone,12.03,0.3,Middle East,Saudi Arabia
ORD-00049,CUST-0101,2024-09-25,Pending,,19.13,0.23,Middle East,Qatar
ORD-00050,CUST-0018,2024-12-22,Cancelled,Marketplace,25.61,0.18,Africa,Ghana
ORD-00051,CUST-0277,2020-04-08,Cancelled,Marketplace,17.29,0.31,ME,Saudi Arabia
ORD-00052,CUST-0019,2020-02-08,Refunded,Mobile App,25.55,0.25,Asia Pacific,India
ORD-00053,CUST-0155,2020-11-16,Completed,Partner Portal,19.68,0.07,North America,Mexico
ORD-00054,CUST-0120,2023-05-12,Cancelled,Partner Portal,0.11,0.02,Middle East,Saudi Arabia
ORD-00055,CUST-0280,2021-12-20,Cancelled,In-Store,$38.66,0.09,Latin America ,Colombia
ORD-00056,CUST-0259,2024-05-15,Refunded,Phone,28.63,0.17,North America,Mexico
ORD-00057,CUST-0118,2022-06-22,Cancelled,Marketplace,44.83,0.22,Latin America,Brazil
ORD-00058,CUST-0083,2024-03-18,Completed,Mobile App,$10.93,0.25,Latin America,Argentina
ORD-00059,CUST-0272,2023-04-04,Completed,Website,43.92,1.19,Africa,South Africa
ORD-00060,CUST-0380,03/02/2022,Pending,Phone,$38.37,0.12,Asia Pacific,Singapore
ORD-00061,CUST-0201,"September 12, 2020",Completed,Website,$12.13,0.06,Africa,Nigeria
ORD-00062,CUST-0088,2021-07-31,Refunded,Mobile App,27.95,0.22,North America,Canada
ORD-00063,CUST-0232,30 June 2024,Refunded,Mobile App,28.11,0.13,ME,Saudi Arabia
ORD-00064,CUST-0389,2021-02-11,Refunded,Marketplace,12.51,0.26,Latin America,Colombia
ORD-00065,CUST-0084,2021-03-18,Pending,Mobile App,$20.64,0.31,North America,United States
ORD-00066,CUST-0227,2020-08-25,Completed,Website,25.69,0.24,North America,Mexico
ORD-00067,CUST-0085,2022-12-18,Refunded,Mobile App,31.75,0.01,Middle East,UAE
ORD-00068,CUST-0365,2024-09-16,Cancelled,Marketplace,0.49,0.34,Europe,United Kingdom
ORD-00069,CUST-0288,"June 26, 2022",Completed,Marketplace,13.07,0.34,Africa,Kenya
ORD-00070,CUST-0449,2022-04-03,Pending,Website,39.22,0.3,Europe,United Kingdom
ORD-00071,CUST-0388,2023-03-18,Pending,Website,$4.04,0.32,Asia Pacific ,South Korea
ORD-00072,CUST-0478,2024-01-25,Completed,Website,$15.79,0.29,North america ,Mexico
ORD-00073,CUST-0364,2021-01-03,Completed,Phone,41.48,0.29,Africa,Nigeria
ORD-00074,CUST-0207,02/07/2022,Pending,Partner Portal,38.39,0.21,Europe,United Kingdom
ORD-00075,CUST-0390,2022-07-27,Pending,Website,38.73,0.24,Middle East,Saudi Arabia
ORD-00076,CUST-0137,2024-05-13,Completed,Mobile App,2.9,0.33,Latin America,Colombia
ORD-00077,CUST-0344,03/03/2020,Cancelled,Phone,43.7,0.09,Africa,Nigeria
ORD-00078,CUST-0017,02/02/2021,Completed,Website,39.63,0.3,Middle East,Saudi Arabia
ORD-00079,CUST-0310,12/31/2022,Refunded,Phone,44.63,0.3,LatAm,Chile
ORD-00080,CUST-0160,2021-12-31,Completed,In-Store,13.65,0.25,Latin America,Colombia
ORD-00081,CUST-0263,2024-07-15,Completed,Website,36.53,0.01,Asia Pacific,Singapore
ORD-00082,CUST-0140,2024-06-19,Pending,In-Store,17.58,0.2,Latin America,Brazil
ORD-00083,CUST-0378,2020-12-16,Completed,Website,6.98,0.19,Middle East,Saudi Arabia
ORD-00084,CUST-0462,"July 22, 2022",Completed,Partner Portal,27.39,0.19,Middle East,Saudi Arabia
ORD-00085,CUST-0437,2023-04-15,Completed,Partner Portal,$10.85,0.23,north america,Canada
ORD-00086,CUST-0248,2024-05-12,Completed,Mobile App,30.99,0.04,europe,Netherlands
ORD-00087,CUST-0438,2024-10-04,Completed,Phone,$37.63,0.24,Europe,Sweden
ORD-00088,CUST-0309,2024-03-15,Completed,Website,41.47,0.07,Africa,South Africa
ORD-00089,CUST-0404,2021-07-02,Refunded,In-Store,26.09,0.17,Latin America,Colombia
ORD-00090,CUST-0010,2022-04-11,REFUNDED,Partner Portal,40.38,0,Latam,Chile
ORD-00091,CUST-0292,2020-03-05,Refunded,Phone,11.76,0.17,Europe,France
ORD-00092,CUST-0424,10/20/2021,Pending,Partner Portal,42.36,0.06,Latin America,Chile
ORD-00093,CUST-0451,10 November 2023,Cancelled,Phone,2.5,0.24,Middle East,Qatar
ORD-00094,CUST-0021,11/08/2024,Cancelled,Phone,4.2,0.02,Asia Pacific,Australia
ORD-00095,CUST-0004,2024-12-20,Completed,Website,22.68,0.26,Latin America,Colombia
ORD-00096,CUST-0168,2023-06-05,Completed,Website,$22.82,0.12,North America,Canada
ORD-00097,CUST-0397,2021-06-14,Completed,In-Store,7.64,0.27,Latin America,Argentina
ORD-00098,CUST-0219,2024-07-13,Cancelled,Mobile App,15.67,0.06,Asia Pacific,Australia
ORD-00099,CUST-0211,"October 21, 2021",pending,Marketplace,2.76,0.11,middle east,UAE
