return_id,order_id,return_date,return_reason,refund_amount_USD,return_status
RET-0001,ORD-02602,2023-12-17,Wrong item received,745.62,Processed
RET-0002,ORD-04660,2024-05-02,Product not as described,78.55,Pending
RET-0003,ORD-03115,02/22/2024,Defective product,322.05,Processed
RET-0004,ORD-02523,2022-08-07,Defective product,429.37,Processed
RET-0005,ORD-01381,2023-10-12,Better price elsewhere,544.77,Rejected
RET-0006,ORD-01532,2022-10-06,Changed mind,203.44,Rejected
RET-0007,ORD-03382,08/29/2021,Damaged in shipping,526.9,Rejected
RET-0008,ORD-05189,2020-07-04,,435.56,Pending
RET-0009,ORD-04664,2023-08-03,Duplicate order,498.91,Processed
RET-0010,ORD-02911,2023-03-02,Damaged in shipping,201.29,Pending
RET-0011,ORD-05114,2021-03-08,,57.21,Processed
RET-0012,ORD-01032,2024-06-21,Product not as described,654.95,Rejected
RET-0013,ORD-02780,2021-09-15,Better price elsewhere,302.84,Processed
RET-0014,ORD-01013,2024-10-25,Damaged in shipping,286.01,Pending
RET-0015,ORD-05013,10/10/2022,,553.67,Rejected
RET-0016,ORD-05097,2021-02-28,Wrong item received,479.25,Processed
RET-0017,ORD-00454,2023-06-18,Quality issues,145.26,Pending
RET-0018,ORD-04931,2021-12-08,Damaged in shipping,241.88,Processed
RET-0019,ORD-01853,2021-04-30,Changed mind,507.06,Pending
RET-0020,ORD-03211,2022-08-20,Damaged in shipping,209.73,Processed
RET-0021,ORD-05196,2022-06-23,Product not as described,16.69,Pending
RET-0022,ORD-00653,2023-11-25,,147.88,Rejected
RET-0023,ORD-04041,26 July 2024,Product not as described,306.78,Rejected
RET-0024,ORD-05052,2020-09-04,,666,Rejected
RET-0025,ORD-05150,2024-03-18,Better price elsewhere,183.02,Processed
RET-0026,ORD-00589,2024-10-22,Damaged in shipping,$265.89,Rejected
RET-0027,ORD-02189,2020-07-06,Quality issues,677.46,Rejected
RET-0028,ORD-01691,2020-04-17,Wrong item received,313.72,Pending
RET-0029,ORD-02542,2021-01-06,Better price elsewhere,188.56,Rejected
RET-0030,ORD-03651,2022-11-22,Damaged in shipping,$798.67,Rejected
RET-0031,ORD-01318,2023-02-18,Wrong item received,762.73,Pending
RET-0032,ORD-03036,2021-08-16,Better price elsewhere,162.69,Pending
RET-0033,ORD-04919,2021-10-09,Duplicate order,54.64,Pending
RET-0034,ORD-03512,2024-07-13,Better price elsewhere,269.99,Pending
RET-0035,ORD-05030,2020-12-03,Damaged in shipping,611.14,Rejected
RET-0036,ORD-02178,2023-04-06,Wrong item received,$739.19,Rejected
RET-0037,ORD-02601,2022-12-20,Duplicate order,11.24,Rejected
RET-0038,ORD-04843,2023-10-21,Wrong item received,613.48,Pending
RET-0039,ORD-02381,2022-05-03,Product not as described,$684.26,Rejected
RET-0040,ORD-02834,2021-08-06,Quality issues,648.35,Pending
RET-0041,ORD-03349,2021-12-26,Damaged in shipping,456.41,Processed
RET-0042,ORD-00408,2023-06-19,Defective product,354.38,Processed
RET-0043,ORD-04753,2021-02-28,Defective product,32.61,Pending
RET-0044,ORD-04474,2021-01-25,Wrong item received,$372.09,Rejected
RET-0045,ORD-01999,"August 14, 2022",Wrong item received,140.74,Processed
RET-0046,ORD-00788,9 March 2021,,50.85,Processed
RET-0047,ORD-00297,04/13/2021,Defective product,215.12,Pending
RET-0048,ORD-00371,2023-01-28,Quality issues,214.49,Processed
RET-0049,ORD-01268,12/16/2022,Changed mind,173.5,Pending
RET-0050,ORD-00686,2021-02-26,Duplicate order,70.34,Rejected
RET-0051,ORD-03209,2023-04-19,Changed mind,$654.91,Rejected
RET-0052,ORD-02084,2021-07-14,Better price elsewhere,798.5,Pending
RET-0053,ORD-01069,2022-08-28,Product not as described,$379.04,Processed
RET-0054,ORD-03510,2024-11-25,Defective product,615.43,Pending
RET-0055,ORD-00987,"April 26, 2021",Product not as described,$584.76,Pending
RET-0056,ORD-02293,05/12/2024,Quality issues,11.24,Rejected
RET-0057,ORD-01595,20/11/2022,Duplicate order,$678.03,Rejected
RET-0058,ORD-02053,2021-06-02,Duplicate order,322.61,Pending
RET-0059,ORD-00693,2021-04-17,Product not as described,$727.14,Processed
RET-0060,ORD-02698,2021-03-12,Damaged in shipping,603.13,Processed
RET-0061,ORD-03188,2020-04-18,Duplicate order,192.8,Pending
RET-0062,ORD-05134,2022-01-01,Changed mind,424.26,Rejected
RET-0063,ORD-00777,2021-04-14,Damaged in shipping,378.38,Processed
RET-0064,ORD-01251,08/20/2023,Wrong item received,407.17,Processed
RET-0065,ORD-04554,"September 18, 2024",Better price elsewhere,47.68,Pending
RET-0066,ORD-01721,2020-07-07,Duplicate order,44.97,Pending
RET-0067,ORD-02575,4 July 2020,Changed mind,105.37,Pending
RET-0068,ORD-04716,2021-12-06,Wrong item received,649.17,Pending
RET-0069,ORD-02987,2022-11-30,Wrong item received,99.52,Pending
RET-0070,ORD-04657,2021-07-23,Damaged in shipping,132,Rejected
RET-0071,ORD-04355,2022-05-11,Better price elsewhere,127.79,Pending
RET-0072,ORD-00105,2023-08-24,Changed mind,640.85,Pending
RET-0073,ORD-04054,"July 29, 2024",Damaged in shipping,612.09,Processed
RET-0074,ORD-01000,2023-12-18,Duplicate order,164.25,Pending
RET-0075,ORD-03578,2024-07-17,Better price elsewhere,25.13,Rejected
RET-0076,ORD-02373,"December 21, 2021",,$462.12,Rejected
RET-0077,ORD-01122,2021-02-08,Better price elsewhere,152.56,Pending
RET-0078,ORD-03394,2022-02-01,,$759.06,Rejected
RET-0079,ORD-00768,"March 4, 2020",Quality issues,363.14,Processed
RET-0080,ORD-02189,2020-09-11,Product not as described,$713.22,Pending
RET-0081,ORD-03188,06/02/2023,Product not as described,690.53,Rejected
RET-0082,ORD-02221,2020-07-01,Product not as described,721.35,Pending
RET-0083,ORD-01332,2023-11-26,Damaged in shipping,395.44,Rejected
RET-0084,ORD-00213,2024-04-11,Changed mind,464.89,Pending
RET-0085,ORD-05130,2022-02-23,Defective product,83,Rejected
RET-0086,ORD-00867,2021-05-04,Defective product,$343.27,Rejected
RET-0087,ORD-03666,2021-03-30,Product not as described,738.45,Rejected
RET-0088,ORD-03512,2020-07-29,,103.03,Processed
RET-0089,ORD-03995,"August 10, 2023",Duplicate order,694.85,Rejected
RET-0090,ORD-01651,2021-06-16,Damaged in shipping,274.17,Rejected
RET-0091,ORD-03366,2020-11-25,Changed mind,162.91,Pending
RET-0092,ORD-02539,2024-07-18,Duplicate order,215.5,Rejected
RET-0093,ORD-02656,2024-06-15,Wrong item received,84.47,Processed
RET-0094,ORD-05195,2023-09-23,Wrong item received,754.84,Pending
RET-0095,ORD-02335,2022-04-30,Changed mind,619.23,Processed
RET-0096,ORD-02888,2023-05-19,Duplicate order,789.94,Rejected
RET-0097,ORD-01804,2020-04-30,Damaged in shipping,72.86,Pending
RET-0098,ORD-00712,2024-05-19,Duplicate order,350.29,Processed
RET-0099,ORD-02787,2021-07-08,Changed mind,434.84,Processed
RET-0100,ORD-00769,26/08/2024,,16.97,Pending
RET-0101,ORD-03022,2021-05-06,Better price elsewhere,413.87,Rejected
RET-0102,ORD-01390,2020-05-13,Quality issues,579,Rejected
RET-0103,ORD-03514,2024-02-13,Defective product,781.02,Processed
RET-0104,ORD-04258,2024-06-16,Quality issues,202.91,Pending
RET-0105,ORD-02456,2023-10-06,Quality issues,756.79,Pending
RET-0106,ORD-03723,2023-05-08,Damaged in shipping,418.69,Processed
RET-0107,ORD-02495,2021-12-16,Changed mind,$349.07,Rejected
RET-0108,ORD-01950,07/17/2021,Wrong item received,55.5,Processed
RET-0109,ORD-03651,2021-08-31,Better price elsewhere,235.25,Pending
RET-0110,ORD-02174,2023-04-18,Damaged in shipping,201.25,Rejected
RET-0111,ORD-02384,2022-11-12,Better price elsewhere,95.89,Rejected
RET-0112,ORD-01431,2023-12-15,Defective product,85.49,Processed
RET-0113,ORD-00316,2021-04-22,Wrong item received,606.26,Processed
RET-0114,ORD-01379,2022-01-24,,554.31,Processed
RET-0115,ORD-00576,2022-05-08,Wrong item received,605.52,Processed
RET-0116,ORD-01571,2020-11-02,Duplicate order,370.93,Pending
RET-0117,ORD-00884,2022-08-02,Product not as described,671.52,Rejected
RET-0118,ORD-05154,10/19/2021,Wrong item received,437.96,Processed
RET-0119,ORD-02558,2020-08-09,,204.91,Rejected
RET-0120,ORD-03419,2023-12-10,Damaged in shipping,687.41,Pending
RET-0121,ORD-01094,2020-05-05,Damaged in shipping,149.5,Processed
RET-0122,ORD-04527,19 February 2021,Wrong item received,292.76,Pending
RET-0123,ORD-02866,2023-07-20,Quality issues,$657.55,Rejected
RET-0124,ORD-04278,2023-08-07,Changed mind,741.33,Rejected
RET-0125,ORD-04292,2024-12-17,Changed mind,711.59,Rejected
RET-0126,ORD-00259,2024-10-28,,637.96,Pending
RET-0127,ORD-00339,2021-03-18,Better price elsewhere,146.75,Pending
RET-0128,ORD-02196,2021-11-22,Duplicate order,574.32,Rejected
RET-0129,ORD-00296,2020-10-29,Defective product,273.45,Rejected
RET-0130,ORD-04490,2020-08-01,Duplicate order,722.07,Pending
RET-0131,ORD-03204,2024-01-24,Wrong item received,711.7,Processed
RET-0132,ORD-01257,29 October 2021,Quality issues,$94.43,Pending
RET-0133,ORD-00072,2020-07-25,Damaged in shipping,569.67,Rejected
RET-0134,ORD-01088,2020-10-30,Better price elsewhere,503.2,Pending
RET-0135,ORD-05159,2021-07-17,Wrong item received,633.29,Processed
RET-0136,ORD-03549,2023-03-26,Damaged in shipping,409.09,Rejected
RET-0137,ORD-02436,2023-09-21,,293.3,Pending
RET-0138,ORD-02447,2023-04-16,Defective product,372.33,Processed
RET-0139,ORD-04784,2023-07-04,Damaged in shipping,738.73,Processed
RET-0140,ORD-04524,21/11/2023,,460.55,Processed
RET-0141,ORD-03002,2020-04-20,Changed mind,356.97,Processed
RET-0142,ORD-02843,2024-05-04,Damaged in shipping,323.01,Processed
RET-0143,ORD-04171,2023-12-28,Damaged in shipping,524.14,Processed
RET-0144,ORD-00206,2020-04-21,Better price elsewhere,765.4,Pending
RET-0145,ORD-02105,2020-05-27,Wrong item received,358.68,Pending
RET-0146,ORD-00645,2024-06-16,Defective product,346.74,Rejected
RET-0147,ORD-03858,2022-07-12,Damaged in shipping,393.1,Processed
RET-0148,ORD-01296,2022-04-22,Defective product,63.97,Processed
RET-0149,ORD-05016,2024-09-10,Defective product,624.27,Pending
RET-0150,ORD-02045,20/08/2023,,636.22,Processed
RET-0151,ORD-05141,2021-10-14,Better price elsewhere,32.09,Pending
RET-0152,ORD-00105,2020-08-03,Damaged in shipping,648.19,Pending
RET-0153,ORD-04616,17 May 2023,Wrong item received,714.87,Processed
RET-0154,ORD-01257,2021-01-14,Defective product,63.96,Pending
