subscription_id,customer_id,plan_name,monthly_fee_USD,subscription_start,subscription_end,tenure_months,total_revenue_USD,subscription_status,cancellation_reason,payment_method
SUB-0001,CUST-0001,Enterprise,499,2020-11-04,2022-04-11,17.2,8582.8,Cancelled,Company closure,Credit Card
SUB-0002,CUST-0001,Enterprise,499,09/29/2021,2023-11-08,25.3,12624.7,Cancelled,Missing features,Crypto
SUB-0003,CUST-0002,Enterprise,499,2021-07-11,26 September 2023,26.5,13223.5,Cancelled,Too expensive,Crypto
SUB-0004,CUST-0003,Business,199,2019-08-21,2024-01-29,53.3,"$10,606.70",Cancelled,Found alternative,PayPal
SUB-0005,CUST-0004,Enterprise,499,07/29/2023,2023-10-09,2.4,1197.6,CANCELLED,Found alternative,PayPal
SUB-0006,CUST-0004,Starter,29,2022-01-01,2023-12-23,23.7,687.3,Cancelled,Missing features,Crypto
SUB-0007,CUST-0005,Starter,29,2022-05-01,2022-11-09,6.3,182.7,Cancelled,Poor support,Bank Transfer
SUB-0008,CUST-0006,Business,199,2021-03-27,2024-06-04,,"$7,621.70",Active,,Credit Card
SUB-0009,CUST-0007,Professional,79,2019-09-07,2022-03-05,29.9,2362.1,Cancelled,Budget cuts,Credit Card
SUB-0010,CUST-0008,Enterprise,499,2020-02-19,2021-05-27,15.2,7584.8,Cancelled,Found alternative,Bank Transfer
SUB-0011,CUST-0009,Business,199,2020-05-18,2024-02-07,44.7,8895.3,Cancelled,Budget cuts,Crypto
SUB-0012,CUST-0010,Starter,29,2019-11-19,10/10/2024,58.7,1702.3,Active,,Bank Transfer
SUB-0013,CUST-0011,Starter,29,2023-01-17,2024-04-07,14.7,426.3,Cancelled,Switched to competitor,Bank Transfer
SUB-0014,CUST-0012,Starter,29,2019-09-01,02/21/2022,29.7,861.3,Cancelled,Budget cuts,Crypto
SUB-0015,CUST-0013,Business,199,2019-07-31,2024-03-24,55.8,11104.2,Cancelled,No longer needed,Bank Transfer
SUB-0016,CUST-0014,Enterprise,499,2023-02-25,2024-04-04,13.3,6636.7,Cancelled,No longer needed,Credit Card
SUB-0017,CUST-0015,Enterprise,$499.00,2021-11-13,2023-12-17,,12524.9,Cancelled,Poor support,Credit Card
SUB-0018,CUST-0016,Professional,79,2021-09-07,2024-05-10,32.1,2535.9,Cancelled,Too expensive,Crypto
